,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
20,Detonador de Sueños,Detonador de Sueños,https://i.scdn.co/image/ab67616d0000b2737a51862c5fd3f4070b2df5a6,La Renga,https://p.scdn.co/mp3-preview/d40419752bfd0817446779ba5f9356108b854d4b?cid=b1e13d47b67249bda69ed912bb4f7133,2003-01-13,130638,46,0.000246,0.343,0.984,0.00172,0.104,-2.757,0.0943,112.282,4,
21,A La Carga Mi Rock'n Roll,Despedazado Por Mil Partes,https://i.scdn.co/image/ab67616d0000b2734b471c4c2e9187e94ef7fc6b,La Renga,,1996-01-01,226200,49,9.02e-05,0.419,0.884,6.97e-05,0.0593,-6.287,0.0794,92.78,4,
22,Bien Alto,La Renga,https://i.scdn.co/image/ab67616d0000b2731aa8c66e1c27469058e2b794,La Renga,,1998-01-01,206440,46,0.00516,0.405,0.937,1.32e-06,0.292,-4.544,0.117,127.295,4,"Hasta cuánto de alta es esta altura Que siempre hay más y yo más quiero subir Hasta dónde llegará esta pendiente Cuanto más arriba haya, más abajo habrá también ¿Hasta dónde ? si ya voy cruzando el cielo ¿hasta dónde ? si nunca puedo alcanzar ¿hasta cuánto? que nunca se ve la cima El horizonte siempre, siempre es un peldaño más Cada vez estoy más trepado Y el abismo bajo mis pies Siempre tiene más abajo Pero a dónde queda el llegar De este arriba sin final Este arriba cada vez, más alto está Apunado de locura Va a dejarme esta altura Nunca tiene suficiente Se eleva siempre más y más Tanto vértigo es la vida No hay más que hacer, sólo subirla Morir abajo, como también arriba"
23,El Rey De La Triste Felicidad,La Esquina Del Infinito,https://i.scdn.co/image/ab67616d0000b2731dad83ee2d8493f3f6d636c4,La Renga,,2000-01-01,258440,45,0.000645,0.438,0.94,0.00256,0.253,-5.178,0.0582,134.488,4,"¿Qué podemos hacer cuando se sienta mal? Si está bancando su bronca masticando vidrios ¿Quién lo quiere invitar a ver televisión? ¿Quién sacará las astillas de su corazón? ¿Qué podrán decir? ¿Quién lo va a convencer? ¿Qué podemos hacer cuando se sienta bien? Si está salvando su sueño anestesiándose ¿Quién lo quiere invitar con un electroshock? ¿Quién lamerá los rasguños de su desesperación? ¿Qué podemos decir? ¿Quién lo va a convencer? Se ha convertido en daga el dolor de este tonto rey Rey de un reino sin mundo, reino que no tiene ley Rey que se desangra pero aún tiene esperanzas Serás feliz siendo triste, rey qué puedo decirte Nada podemos hacer cuando se sienta mal Nada podemos hacer cuando se sienta bien Él es el rey de una maldición que lo hizo rey Será feliz siendo triste, rey qué puedo decirte"
24,Un Tiempo Fuera De Casa - En Directo Desde Estadio De Huracán Buenos Aires / 2001,Insoportablemente Vivo (En Directo Desde Estadio De Huracán Buenos Aires / 2001),https://i.scdn.co/image/ab67616d0000b273ec1329ec241421c988c261be,La Renga,https://p.scdn.co/mp3-preview/82624ace0046d35a6c3ce402499d9a80693783db?cid=b1e13d47b67249bda69ed912bb4f7133,2001-09-13,173733,44,0.00864,0.302,0.991,9.22e-06,0.329,-4.606,0.184,144.256,4,
25,El Ojo del Huracán,Detonador de Sueños,https://i.scdn.co/image/ab67616d0000b2737a51862c5fd3f4070b2df5a6,La Renga,https://p.scdn.co/mp3-preview/b10ce1ef68ab67ff48dd839b85cbe1a51d638d7d?cid=b1e13d47b67249bda69ed912bb4f7133,2003-01-13,234652,44,0.000431,0.454,0.985,0.000128,0.113,-3.439,0.0722,141.402,4,
26,El Hombre De La Estrella,La Renga,https://i.scdn.co/image/ab67616d0000b2731aa8c66e1c27469058e2b794,La Renga,,1998-01-01,201560,45,0.00169,0.239,0.953,0.0,0.461,-4.3,0.196,99.286,3,"Son tan distintos el sonido y el viento Y sin embargo en algo se parecen Ni el mejor ojo los puede ver Pero estan porque se siente De esa textura tu alma pario Lo que era todo tu aliento La rabia nunca murio Cuando mataron al perro Dame de esa espuma, contagia valor Que no haya tumba, ni nada que lo calla Se oye como el viento y no se ve Se mete adentro y da batalla Un salvaje que no para Quiere convertirse en mi No me quiere fiel ni falso Solo bestia para vivir De esa bravura tu sueño pario Lo que aun sostiene mi aliento La rabia nunca murio Cuando mataron al perro Dame de esa espuma, contagia valor Que no haya tumba, ni nada que lo calla Se oye como el viento y no se ve Se mete adentro y da batalla Como guia el cielo regalo Una estrella para tu frente Para que sin perder la ternura jamas Aprendieras a endurecerte"
27,Al Que He Sangrado,La Esquina Del Infinito,https://i.scdn.co/image/ab67616d0000b2731dad83ee2d8493f3f6d636c4,La Renga,https://p.scdn.co/mp3-preview/5faa540e28af6c4e2af606121a3aa2d5b46c05b5?cid=b1e13d47b67249bda69ed912bb4f7133,2000-01-01,155573,44,0.00408,0.403,0.945,0.0,0.223,-4.659,0.0837,143.935,4,"Dame lo que me falta de silencio para contestar A mi vieja pregunta que estéril teme quedar A mi corazón que ya rebalsa de mi pecho A mi gran amor Al que he sangrado de utopías, de locuras y agonías ¿qué más sé? yo no tengo la respuesta De por qué los traté así Dame lo que me falta de silencio para contestar En mi antiguo dolor, a quién busco, a quién soy Al que sentencié con el éxtasis de mi ciencia Al que todo le doy Al que he sangrado de utopías, de locuras y agonías ¿Qué más sé? yo no tengo la respuesta De por qué los traté así"
28,Oportunidad Oportuna - En Directo Desde Estadio De Huracán Buenos Aires / 2001,Insoportablemente Vivo (En Directo Desde Estadio De Huracán Buenos Aires / 2001),https://i.scdn.co/image/ab67616d0000b273ec1329ec241421c988c261be,La Renga,,2001-09-13,222160,43,0.00112,0.402,0.993,8.19e-05,0.446,-5.644,0.152,145.654,4,
29,Buena Pipa,Alejado de la Red,https://i.scdn.co/image/ab67616d0000b2739ee2a8244735f99704d9ba9c,La Renga,https://p.scdn.co/mp3-preview/9252c93d4b892d971105b81d9fcf074a64e78d31?cid=b1e13d47b67249bda69ed912bb4f7133,2022-02-04,245520,44,5.35e-06,0.493,0.931,0.00124,0.122,-4.807,0.0373,127.055,4,
