,name,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
10,Flight of Icarus - 2015 Remaster,Piece of Mind (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff,Iron Maiden,https://p.scdn.co/mp3-preview/dc9f0658417675c8dc2229604606faf9e6df750a?cid=b1e13d47b67249bda69ed912bb4f7133,1983,230760,60,0.147,0.368,0.917,0.000121,0.169,-4.829,0.0772,110.455,4
11,Phantom of the Opera - 2015 Remaster,Iron Maiden (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2736ac3ed972e1c181cd2ee8d55,Iron Maiden,https://p.scdn.co/mp3-preview/4fc9184aeda820db77b9d4b84cef647152d773fb?cid=b1e13d47b67249bda69ed912bb4f7133,1980,441466,60,6.28e-05,0.319,0.952,0.154,0.918,-5.315,0.0723,109.275,4
12,Can I Play with Madness - 2015 Remaster,Seventh Son of a Seventh Son (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2731d7e954fb2f8b98a4cea3eca,Iron Maiden,https://p.scdn.co/mp3-preview/5d79cec5cd7c74a31eaf7dcf06a6663ac7f596d8?cid=b1e13d47b67249bda69ed912bb4f7133,1988,211253,59,0.0891,0.313,0.981,0.0,0.264,-3.491,0.0981,140.56,1
13,Be Quick or Be Dead - 2015 Remaster,Fear of the Dark (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730dda9c11454b9053d07f585a,Iron Maiden,https://p.scdn.co/mp3-preview/26ac990391f0f496b559666185d1f3561447e1a8?cid=b1e13d47b67249bda69ed912bb4f7133,1992,203653,57,9.4e-05,0.319,0.965,0.00221,0.141,-4.354,0.0646,127.721,4
14,Children of the Damned - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/a273ab51a2b37df8efff3c1740335e438df30833?cid=b1e13d47b67249bda69ed912bb4f7133,1982,275280,56,0.0233,0.286,0.775,0.177,0.12,-6.607,0.0335,96.707,4
15,Powerslave - 2015 Remaster,Powerslave (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d,Iron Maiden,https://p.scdn.co/mp3-preview/34d43f6781ab7cae8c209efd4a85ae9e002f06a2?cid=b1e13d47b67249bda69ed912bb4f7133,1984,431520,55,0.0289,0.3,0.974,0.0492,0.242,-5.341,0.104,136.138,4
16,The Evil That Men Do - 2015 Remaster,Seventh Son of a Seventh Son (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2731d7e954fb2f8b98a4cea3eca,Iron Maiden,https://p.scdn.co/mp3-preview/7ceb35d3b38056c4a0d6cb444bdefdb0534ba278?cid=b1e13d47b67249bda69ed912bb4f7133,1988,274213,57,0.00852,0.255,0.977,2.8e-06,0.0776,-4.672,0.11,161.738,4
17,The Writing On The Wall,Senjutsu,https://i.scdn.co/image/ab67616d0000b2739dded020fbe39dc9c3d3122f,Iron Maiden,https://p.scdn.co/mp3-preview/e374ca859b3d7df0e3455b48d1b79c7eaaba8bee?cid=b1e13d47b67249bda69ed912bb4f7133,2021-09-03,373898,60,0.00158,0.402,0.912,0.000179,0.0923,-5.447,0.0442,90.045,4
18,Brave New World - 2015 Remaster,Brave New World (2015 Remaster),https://i.scdn.co/image/ab67616d0000b273e1c50403652529dccf16f84c,Iron Maiden,https://p.scdn.co/mp3-preview/44c9f06b4a3d0c93722d989cef0ba5078c5a8e10?cid=b1e13d47b67249bda69ed912bb4f7133,2000,379066,54,0.00651,0.353,0.872,0.000532,0.125,-5.185,0.0596,111.336,4
19,Where Eagles Dare - 2015 Remaster,Piece of Mind (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff,Iron Maiden,https://p.scdn.co/mp3-preview/14f36af4e9a11d3d16a42643b9d22e28bc8c32a9?cid=b1e13d47b67249bda69ed912bb4f7133,1983,372760,55,0.0259,0.407,0.965,0.219,0.156,-5.292,0.0944,112.891,3
