"","GS","ganancia_peso"
"782","16",66.15
"783","13",66.17
"784","13",66.21
"785","13",66.22
"786","13",66.24
"787","16",66.26
"788","16",66.27
"789","16",66.29
"790","13",66.33
"791","16",66.34
"792","13",66.38
"793","16",66.39
"794","16",66.41
"795","13",66.43
"796","13",66.46
"797","13",66.47
"798","13",66.47
"799","13",66.48
"800","13",66.49
"801","13",66.49
"802","13",66.52
"803","13",66.53
"804","13",66.59
"805","13",66.61
"806","16",66.62
"807","13",66.62
"808","13",66.68
"809","13",66.73
"810","16",66.77
"811","13",66.77
"812","16",66.8
"813","13",66.83
"814","13",66.83
"815","13",66.85
"816","13",66.85
"817","16",66.87
"818","16",66.92
"819","13",66.94
"820","13",66.95
"821","13",66.99
"822","13",66.99
"823","16",67
"824","16",67.04
"825","13",67.05
"826","13",67.07
"827","13",67.09
"828","16",67.14
"829","16",67.15
"830","13",67.17
"831","13",67.2
"832","13",67.21
"833","13",67.25
"834","13",67.26
"835","13",67.28
"836","13",67.29
"837","16",67.31
"838","16",67.33
"839","13",67.35
"840","16",67.38
"841","13",67.43
"842","16",67.44
"843","16",67.48
"844","13",67.5
"845","16",67.52
"846","16",67.54
"847","16",67.56
"848","16",67.56
"849","13",67.57
"850","16",67.62
"851","16",67.62
"852","16",67.63
"853","13",67.65
"854","16",67.67
"855","13",67.69
"856","16",67.7
"857","13",67.7
"858","16",67.71
"859","13",67.72
"860","13",67.72
"861","13",67.78
"862","13",67.78
"863","16",67.78
"864","16",67.79
"865","13",67.81
"866","16",67.82
"867","16",67.85
"868","13",67.88
"869","16",67.9
"870","16",67.97
"871","16",67.98
"872","16",68.03
"873","16",68.03
"874","16",68.1
"875","13",68.16
"876","16",68.17
"877","16",68.22
"878","13",68.24
"879","13",68.26
"880","16",68.3
"881","16",68.34
"882","16",68.37
"883","13",68.41
"884","16",68.41
"885","13",68.41
"886","13",68.43
"887","16",68.44
"888","16",68.45
"889","13",68.46
"890","13",68.47
"891","13",68.49
"892","16",68.5
"893","13",68.52
"894","13",68.54
"895","13",68.55
"896","13",68.55
"897","13",68.55
"898","16",68.58
"899","13",68.58
"900","13",68.6
"901","16",68.62
"902","16",68.67
"903","13",68.67
"904","13",68.67
"905","13",68.69
"906","16",68.7
"907","13",68.71
"908","16",68.73
"909","13",68.73
"910","13",68.79
"911","13",68.81
"912","16",68.86
"913","16",68.86
"914","13",68.87
"915","16",68.87
"916","13",68.87
"917","16",68.89
"918","13",68.96
"919","16",68.98
"920","16",68.99
"921","16",68.99
"922","13",69.01
"923","16",69.07
"924","13",69.08
"925","16",69.12
"926","16",69.13
"927","13",69.13
"928","16",69.14
"929","13",69.21
"930","16",69.23
"931","13",69.23
"932","13",69.23
"933","16",69.27
"934","13",69.28
"935","16",69.31
"936","13",69.31
"937","16",69.33
"938","16",69.34
"939","16",69.36
"940","13",69.43
"941","16",69.44
"942","16",69.46
"943","13",69.49
"944","13",69.49
"945","16",69.5
"946","13",69.51
"947","16",69.54
"948","16",69.56
"949","16",69.59
"950","13",69.66
"951","13",69.72
"952","16",69.77
"953","16",69.8
"954","13",69.83
"955","13",69.84
"956","16",69.86
"957","13",69.87
"958","13",69.96
"959","16",70.01
"960","16",70.01
"961","16",70.03
"962","13",70.07
"963","16",70.13
"964","13",70.15
"965","13",70.15
"966","16",70.18
"967","13",70.18
"968","16",70.21
"969","13",70.22
"970","13",70.24
"971","13",70.27
"972","13",70.28
"973","13",70.29
"974","13",70.3
"975","16",70.32
"976","13",70.33
"977","13",70.34
"978","13",70.35
"979","13",70.37
"980","16",70.41
"981","16",70.41
"982","16",70.43
"983","16",70.45
"984","16",70.45
"985","13",70.47
"986","16",70.51
"987","16",70.51
"988","13",70.53
"989","16",70.56
"990","13",70.56
"991","16",70.61
"992","16",70.63
"993","13",70.64
"994","13",70.65
"995","16",70.65
"996","13",70.65
"997","13",70.66
"998","13",70.72
"999","16",70.73
"1000","13",70.74
"1001","13",70.75
"1002","16",70.77
"1003","16",70.78
"1004","13",70.82
"1005","16",70.85
"1006","16",70.85
"1007","13",70.85
"1008","16",70.86
"1009","13",70.86
"1010","16",70.87
"1011","16",70.88
"1012","13",70.88
"1013","13",70.89
"1014","16",70.9
"1015","16",70.9
"1016","16",70.94
"1017","16",70.94
"1018","16",70.96
"1019","13",70.99
"1020","16",71
"1021","16",71
"1022","16",71.02
"1023","13",71.04
"1024","16",71.05
"1025","16",71.06
"1026","16",71.09
"1027","16",71.12
"1028","16",71.14
"1029","13",71.16
"1030","16",71.17
"1031","16",71.17
"1032","13",71.18
"1033","16",71.23
"1034","13",71.24
"1035","16",71.27
"1036","13",71.28
"1037","13",71.3
"1038","16",71.36
"1039","13",71.36
"1040","16",71.36
"1041","16",71.39
"1042","16",71.39
